#tor_pair_id,src,dst,pdf_num_bytes
11487,89,95,0.183530916706236
12249,95,89,0.103441545068403
6495,50,95,0.0876289440668847
735,5,95,0.0720327857187794
11442,89,50,0.0577590767988163
12210,95,50,0.0527299328496942
12165,95,5,0.0459683249999485
729,5,89,0.0445498821919033
11397,89,5,0.0426323667726131
690,5,50,0.0332611782988031
6489,50,89,0.0296324878861911
6405,50,5,0.0243941085188344
12183,95,23,0.00880373244217289
12174,95,14,0.0085865638970809
713,5,73,0.00787263553186314
687,5,47,0.00680910035037181
14522,113,58,0.00200844674228173
2624,20,64,0.00196202311127958
6417,50,17,0.00172935118000654
1954,15,34,0.001688691340358
2568,20,8,0.00159591842939459
12919,100,119,0.00152898354268307
1999,15,79,0.00150936716185009
8719,68,15,0.00147563661212535
5427,42,51,0.00143338818946865
2003,15,83,0.00141123792203038
8184,63,120,0.0013407576769969
1873,14,81,0.0012678955362695
12243,95,83,0.00121006084109498
5316,41,68,0.00110898261738966
13709,107,13,0.00106447441641476
8160,63,96,0.000989616347640081
8275,64,83,0.000924758043606808
12283,95,123,0.000868809218145756
12814,100,14,0.000850286373158831
11475,89,83,0.000836644699454702
6483,50,83,0.000813971664719031
10410,81,42,0.000790313860430903
11515,89,123,0.000758075812906376
12231,95,71,0.000747306657799381
12239,95,79,0.000730782011718277
11470,89,78,0.000713555905264169
15169,118,65,0.000709473880424409
15863,123,119,0.000684399569391754
11406,89,14,0.000670349532677441
12177,95,17,0.000662652927482923
723,5,83,0.000656916229820885
4170,32,74,0.000624811340742919
11434,89,42,0.000589942895125089
11463,89,71,0.00057586498166454
763,5,123,0.000574274910852501
11439,89,47,0.000574254199056491
11415,89,23,0.000560055264496758
8745,68,41,0.000558901002761071
12178,95,18,0.000531134471468951
11476,89,84,0.000522866549587512
11507,89,115,0.000521646432954114
6523,50,123,0.000512924300211588
11412,89,20,0.000505489235276708
663,5,23,0.000502411987036213
6479,50,79,0.000495093832163501
12190,95,30,0.000494883581984721
11422,89,30,0.000492233764135613
16095,125,95,0.000489760446809027
6430,50,30,0.000485343861861692
12253,95,93,0.000483676895081101
657,5,17,0.000483251304868187
15355,119,123,0.000473691029560081
15146,118,42,0.000472333525984907
6484,50,84,0.00047207774117709
6414,50,14,0.000462564918981961
6447,50,47,0.000460852613336002
6493,50,93,0.000460655988308471
6420,50,20,0.00046018529414659
12207,95,47,0.000459459363315161
682,5,42,0.000457060514487652
11392,89,0,0.000455203735255156
11402,89,10,0.000453312070937131
11410,89,18,0.000453175075522688
8143,63,79,0.000450155264342207
11471,89,79,0.000444783391850723
670,5,30,0.000441511828593973
11467,89,75,0.000438694750267444
654,5,14,0.000438224291021964
717,5,77,0.000436198215369906
6471,50,71,0.000432138233519094
11486,89,94,0.000429571341159494
11484,89,92,0.000425766909200099
11465,89,73,0.000424681086442533
6494,50,94,0.000421470523144543
758,5,118,0.000418199233956927
6463,50,63,0.000418194261559775
719,5,79,0.00041679545185078
7537,58,113,0.000414920623208151
12237,95,77,0.000411327224482205
6454,50,54,0.000410624550374462
11446,89,54,0.000408787190897772
6445,50,45,0.000407661471504791
11455,89,63,0.000406559870195633
11508,89,116,0.00040497751247209
12180,95,20,0.000404481134117047
12277,95,117,0.000404399422362277
6438,50,38,0.00040356570405558
6474,50,74,0.000402422131016133
11437,89,45,0.000401696395948371
11469,89,77,0.000399117562005061
6413,50,13,0.000398665661155249
6439,50,39,0.000396053664846682
